id,title,year,runtime,genres,rating,numVotes
tt0112546,Mouth to Mouth,1995.0,106.0,"Comedy,Romance",6.4,1837
tt0112553,Bombay,1995.0,130.0,"Drama,Musical,Romance",8.1,14955
tt0112556,Happiness Is in the Field,1995.0,106.0,Comedy,7.0,3163
tt0112562,The Scent of Joseph's Shirt,1995.0,100.0,"Drama,War",6.6,1804
tt0112571,Boys on the Side,1995.0,115.0,"Comedy,Drama",6.5,15682
tt0112572,The Brady Bunch Movie,1995.0,90.0,Comedy,6.2,25773
tt0112573,Braveheart,1995.0,178.0,"Biography,Drama,War",8.3,1146534
tt0112579,The Bridges of Madison County,1995.0,135.0,"Drama,Romance",7.6,94991
tt0112585,The Brothers McMullen,1995.0,98.0,"Comedy,Drama,Romance",6.6,8651
tt0112602,Bushwhacked,1995.0,90.0,"Adventure,Comedy,Crime",5.6,7274
tt0112604,Butterfly Kiss,1995.0,88.0,"Comedy,Drama,Romance",6.3,2221
tt0112606,Bye Bye Love,1995.0,106.0,"Comedy,Drama,Romance",6.2,6755
tt0112609,Wild Horses,1995.0,122.0,"Comedy,Crime,Drama",7.1,2020
tt0112619,Midaq Alley,1995.0,140.0,"Drama,Romance",7.3,3593
tt0112625,Candyman: Farewell to the Flesh,1995.0,95.0,"Horror,Thriller",5.3,15531
tt0112634,Carnosaur 2,1995.0,83.0,"Action,Horror,Sci-Fi",3.7,2384
tt0112637,Carrington,1995.0,121.0,"Biography,Drama,Romance",6.8,6113
tt0112641,Casino,1995.0,178.0,"Crime,Drama",8.2,607447
tt0112642,Casper,1995.0,100.0,"Comedy,Family,Fantasy",6.2,157658
tt0112651,The Celluloid Closet,1995.0,102.0,"Documentary,History",7.8,7902
tt0112654,One Hundred and One Nights,1995.0,104.0,"Comedy,History,Romance",6.5,2107
tt0112679,Circle of Friends,1995.0,103.0,"Drama,Romance",6.6,9630
tt0112682,The City of Lost Children,1995.0,112.0,"Adventure,Drama,Fantasy",7.4,74259
tt0112688,Clockers,1995.0,128.0,"Crime,Drama,Mystery",6.9,24626
tt0112697,Clueless,1995.0,97.0,"Comedy,Romance",6.9,272062
tt0112702,Coldblooded,1995.0,92.0,"Action,Comedy,Thriller",6.7,4272
tt0112710,God's Comedy,1995.0,170.0,"Comedy,Drama",7.2,1558
tt0112714,The Confessional,1995.0,100.0,"Drama,Mystery,Thriller",7.4,1673
tt0112715,Congo,1995.0,109.0,"Action,Adventure,Mystery",5.3,51575
tt0112716,The Convent,1995.0,90.0,"Drama,Mystery",5.9,1124
tt0112722,Copycat,1995.0,123.0,"Drama,Mystery,Thriller",6.6,82330
tt0112740,Crimson Tide,1995.0,116.0,"Action,Drama,Thriller",7.4,133856
tt0112744,The Crossing Guard,1995.0,111.0,"Drama,Thriller",6.3,15269
tt0112749,"Cry, the Beloved Country",1995.0,106.0,"Drama,Thriller",6.8,2192
tt0112750,Crying Freeman,1995.0,102.0,"Action,Crime,Thriller",6.4,14211
tt0112757,The Cure,1995.0,97.0,"Adventure,Drama",7.7,11626
tt0112760,Cutthroat Island,1995.0,124.0,"Action,Adventure,Comedy",5.7,32563
tt0112767,Cyclo,1995.0,123.0,"Crime,Drama",7.1,5861
tt0112769,The Ceremony,1995.0,111.0,"Crime,Drama,Thriller",7.5,14959
tt0112778,A Chinese Odyssey: Part One - Pandora's Box,1995.0,87.0,"Action,Adventure,Comedy",7.5,9244
tt0112792,Dangerous Minds,1995.0,99.0,"Biography,Drama",6.5,60306
tt0112800,The Blade,1995.0,105.0,Action,6.9,3818
tt0112817,Dead Man,1995.0,121.0,"Adventure,Drama,Western",7.5,107751
tt0112818,Dead Man Walking,1995.0,122.0,"Crime,Drama",7.5,106961
tt0112819,Dead Presidents,1995.0,119.0,"Action,Crime,Drama",6.9,26090
tt0112843,The Demolitionist,1995.0,93.0,"Action,Horror,Sci-Fi",4.3,1419
tt0112844,Denise Calls Up,1995.0,80.0,Comedy,6.6,1463
tt0112851,Desperado,1995.0,104.0,"Action,Crime,Drama",7.1,206215
tt0112854,Destiny Turns on the Radio,1995.0,102.0,"Comedy,Crime,Fantasy",4.6,2650
