id,title,year,runtime,genres,rating,numVotes,budget,gross,votes
tt0113241,Habit,1995.0,112.0,"Drama,Horror,Romance",6.4,2441,,,
tt0113243,Hackers,1995.0,105.0,"Crime,Drama,Romance",6.2,79860,20000000.0,7563728.0,66000.0
tt0113247,La haine,1995.0,98.0,"Crime,Drama",8.1,219485,,,
tt0113249,Innocent Lies,1995.0,88.0,"Drama,Mystery,Thriller",4.5,1195,,,
tt0113253,Halloween: The Curse of Michael Myers,1995.0,87.0,"Horror,Thriller",4.7,46009,5000000.0,15116634.0,32000.0
tt0113256,"Good Men, Good Women",1995.0,108.0,"Drama,Romance",7.2,1309,,,
tt0113269,Haunted,1995.0,108.0,"Drama,Horror",6.2,7820,,,
tt0113277,Heat,1995.0,170.0,"Action,Crime,Drama",8.3,781775,60000000.0,187436818.0,596000.0
tt0113278,Heatseeker,1995.0,91.0,"Action,Drama,Sci-Fi",4.2,1390,,,
tt0113280,Heavy,1995.0,105.0,"Drama,Romance",6.7,6271,,941414.0,4500.0
tt0113281,Men Behind the Sun 4,1995.0,91.0,"Drama,History,Horror",6.2,1005,,,
tt0113292,Peace Hotel,1995.0,89.0,"Action,Crime,Drama",6.2,1372,,,
tt0113303,Hideaway,1995.0,106.0,"Fantasy,Horror,Thriller",5.3,7940,15000000.0,12201255.0,6400.0
tt0113305,Higher Learning,1995.0,128.0,"Crime,Drama,Thriller",6.5,22701,,38290723.0,19000.0
tt0113313,Hollow Point,1996.0,102.0,"Action,Comedy,Crime",5.7,2160,,,
tt0113314,Hollow Reed,1996.0,104.0,"Drama,Romance",7.2,1202,,,
tt0113321,Home for the Holidays,1995.0,103.0,"Comedy,Drama,Romance",6.6,15715,20000000.0,17519169.0,12000.0
tt0113326,Rumble in the Bronx,1995.0,87.0,"Action,Comedy,Crime",6.8,48738,7500000.0,32392047.0,40000.0
tt0113347,How to Make an American Quilt,1995.0,117.0,"Comedy,Drama,Romance",6.3,12980,10000000.0,41200020.0,11000.0
tt0113356,Out of the Dark,1995.0,86.0,"Comedy,Horror",6.8,3114,,,
tt0113360,The Hunted,1995.0,110.0,"Action,Drama,Thriller",5.9,6113,20000000.0,6609661.0,4900.0
tt0113362,The Horseman on the Roof,1995.0,118.0,"Adventure,Drama,Romance",7.0,6605,,1320043.0,5700.0
tt0113368,I Like to Play Games,1995.0,95.0,"Drama,Thriller",5.0,1097,,,
tt0113375,I.D.,1995.0,107.0,"Crime,Drama",7.3,7854,,,
tt0113394,The Immortals,1995.0,92.0,"Action,Crime,Drama",5.5,1604,,,
tt0113403,A Midwinter's Tale,1995.0,99.0,Comedy,7.2,2884,,,
tt0113416,The Incredibly True Adventure of Two Girls in Love,1995.0,94.0,"Comedy,Drama,Romance",6.6,5675,250000.0,2210408.0,4400.0
tt0113419,The Indian in the Cupboard,1995.0,96.0,"Drama,Family,Fantasy",6.0,32638,45000000.0,35656131.0,27000.0
tt0113429,"Institute Benjamenta, or This Dream That One Calls Human Life",1995.0,105.0,Drama,7.0,2155,,,
tt0113438,Iron Eagle on the Attack,1995.0,96.0,"Action,Drama",3.4,1571,,,
tt0113442,It Takes Two,1995.0,101.0,"Comedy,Family,Romance",6.0,27663,,19474589.0,21000.0
tt0113443,It's My Party,1996.0,110.0,"Drama,Romance",7.1,3383,,,
